t,x(t),dx/dt,dx/dt,integral(x),integral(x)
[2.41971, -1.54518, 22.7604, 22.1005, 4.85916, 4.87873]
[2.42971, -1.31488, 23.2804, 22.7426, 4.84486, 4.86329]
[2.44415, -0.974475, 23.8268, 23.3514, 4.82832, 4.84456]
[2.45415, -0.734913, 24.061, 23.7294, 4.81977, 4.83465]
[2.46415, -0.49363, 24.1758, 24.0423, 4.81362, 4.82731]
[2.47415, -0.251798, 24.1706, 24.157, 4.8099, 4.82237]
[2.48415, -0.0106166, 24.0457, 24.1507, 4.80859, 4.81985]
[2.49415, 0.228718, 23.8014, 24.027, 4.80968, 4.81974]
[2.50421, 0.466565, 23.4364, 23.7806, 4.81318, 4.82204]
[2.51421, 0.698628, 22.9571, 23.4171, 4.81901, 4.8267]
[2.52421, 0.925328, 22.364, 22.9381, 4.82713, 4.83367]
[2.53421, 1.14556, 21.6599, 22.3444, 4.8375, 4.84292]
[2.54429, 1.35984, 20.8416, 21.6378, 4.85013, 4.85446]
[2.56834, 1.83364, 18.4737, 20.1634, 4.88864, 4.8882]
[2.58124, 2.06247, 16.9801, 19.0184, 4.91379, 4.91132]
[2.59437, 2.27471, 15.3152, 16.9427, 4.94229, 4.93837]
[2.60437, 2.42114, 13.9586, 15.5031, 4.96578, 4.96101]
[2.61453, 2.55563, 12.5093, 13.9358, 4.99107, 4.98558]
[2.62453, 2.67333, 11.0194, 12.5102, 5.01723, 5.01112]
[2.66092, 2.96991, 5.18958, 8.92996, 5.12056, 5.10949]
[2.68491, 3.04591, 1.13157, 6.17115, 5.1929, 5.17983]
[2.69491, 3.04868, -0.578236, 2.31765, 5.22338, 5.21017]
[2.70491, 3.03434, -2.28658, -0.578107, 5.25382, 5.24064]
[2.71723, 2.99327, -4.37646, -2.48209, 5.29098, 5.27797]
[2.73395, 2.8967, -7.15995, -4.73875, 5.3403, 5.32788]
[2.74536, 2.80442, -9.00667, -6.71264, 5.37284, 5.36094]
[2.75536, 2.70644, -10.5795, -8.88642, 5.40041, 5.38897]
[2.76537, 2.59298, -12.1014, -10.571, 5.42692, 5.41601]
[2.77592, 2.45704, -13.6441, -12.1324, 5.45359, 5.44334]
[2.78592, 2.31356, -15.0382, -13.5923, 5.47746, 5.4679]
[2.79822, 2.11865, -16.6514, -15.1782, 5.50472, 5.49624]
[2.80822, 1.94595, -17.8741, -16.4893, 5.52506, 5.51746]
[2.81822, 1.76142, -19.0103, -17.8588, 5.54361, 5.53691]
[2.82822, 1.56602, -20.0538, -18.9948, 5.56025, 5.5545]
[2.83835, 1.35783, -21.012, -20.0441, 5.57508, 5.57035]
[2.84836, 1.14336, -21.8547, -20.9899, 5.58759, 5.58392]
[2.85836, 0.921024, -22.591, -21.8381, 5.59792, 5.59535]
[2.86836, 0.691866, -23.2172, -22.5726, 5.60599, 5.60454]
[2.87836, 0.45701, -23.7304, -23.1984, 5.61174, 5.61145]
[2.88836, 0.217645, -24.1278, -23.7099, 5.61512, 5.61602]
[2.89836, -0.0251559, -24.4078, -24.1071, 5.61608, 5.61819]
[2.90836, -0.270187, -24.5687, -24.3892, 5.61461, 5.61793]
[2.9187, -0.524547, -24.6092, -24.551, 5.6105, 5.61512]
[2.9287, -0.770324, -24.5262, -24.5876, 5.60402, 5.60989]
[2.94141, -1.08051, -24.2482, -24.4801, 5.59226, 5.59996]
[2.95141, -1.32135, -23.895, -24.2626, 5.58024, 5.58927]
[2.96554, -1.65417, -23.1982, -23.7785, 5.55922, 5.57039]
[2.97554, -1.88312, -22.5677, -23.2865, 5.54153, 5.55402]
[2.9857, -2.10869, -21.8144, -22.5436, 5.52124, 5.5349]
[2.99672, -2.34404, -20.8731, -21.7591, 5.49669, 5.51164]
[3.00672, -2.54805, -19.9118, -20.9007, 5.47222, 5.48825]
[3.01672, -2.74197, -18.8532, -19.8965, 5.44576, 5.46278]
[3.02672, -2.92484, -17.7025, -18.8369, 5.41742, 5.43538]
[3.03672, -3.09577, -16.4654, -17.6872, 5.3873, 5.40615]
[3.04672, -3.25391, -15.1479, -16.4528, 5.35554, 5.37521]
[3.05672, -3.3985, -13.7565, -15.1363, 5.32226, 5.3427]
[3.06672, -3.52883, -12.2978, -13.7452, 5.28761, 5.30873]
[3.07672, -3.64427, -10.779, -12.2871, 5.25173, 5.27346]
[3.08673, -3.74427, -9.20742, -10.7707, 5.21477, 5.23704]
[3.09673, -3.82829, -7.59118, -9.20008, 5.17689, 5.19962]
[3.10912, -3.90969, -5.53796, -7.38778, 5.12892, 5.15219]
[3.11912, -3.95665, -3.84993, -5.73277, 5.08958, 5.11316]
[3.12912, -3.98663, -2.14292, -3.8469, 5.04984, 5.07361]
[3.13912, -3.99947, -0.425619, -2.14126, 5.0099, 5.03378]
[3.14912, -3.99513, 1.29393, -0.425187, 4.96991, 4.99381]
[3.15912, -3.97361, 3.00717, 1.29288, 4.93004, 4.95388]
[3.16914, -3.93493, 4.70926, 3.00635, 4.8904, 4.91409]
[3.18157, -3.86345, 6.78696, 4.90714, 4.84192, 4.86525]
[3.19157, -3.78736, 8.42249, 6.57935, 4.80364, 4.82662]
[3.20157, -3.69511, 10.017, 8.41529, 4.76621, 4.78876]
[3.21482, -3.54882, 12.0524, 10.2601, 4.7182, 4.73993]
[3.22482, -3.42088, 13.5215, 11.7947, 4.68333, 4.70441]
[3.23482, -3.27858, 14.9245, 13.5098, 4.64982, 4.67021]
[3.24482, -3.1226, 16.2546, 14.9131, 4.6178, 4.63745]
[3.25482, -2.95372, 17.5054, 16.2414, 4.58741, 4.60624]
[3.26708, -2.7304, 18.9207, 17.6224, 4.55256, 4.57016]
[3.27708, -2.53583, 19.9736, 18.7782, 4.52622, 4.5428]
[3.28708, -2.33125, 20.9286, 19.9572, 4.50188, 4.51746]
[3.29708, -2.11759, 21.7818, 20.9107, 4.47962, 4.49416]
[3.30708, -1.89593, 22.5285, 21.764, 4.45955, 4.473]
[3.31708, -1.66732, 23.1654, 22.5114, 4.44172, 4.45405]
[3.32708, -1.43295, 23.6891, 23.1477, 4.42622, 4.43739]
[3.33939, -1.13815, 24.1748, 23.7182, 4.41038, 4.41987]
[3.34939, -0.894959, 24.438, 24.1113, 4.40022, 4.4084]
[3.3594, -0.64976, 24.5819, 24.4181, 4.39249, 4.39945]
[3.3694, -0.403671, 24.606, 24.5619, 4.38722, 4.39296]
[3.3794, -0.157967, 24.51, 24.586, 4.38441, 4.38892]
[3.3894, 0.0861552, 24.2945, 24.4913, 4.38406, 4.38734]
[3.39957, 0.331746, 23.9537, 24.2708, 4.38619, 4.38821]
[3.40958, 0.569163, 23.501, 23.9362, 4.3907, 4.39152]
[3.4215, 0.84544, 22.8118, 23.4296, 4.39914, 4.39838]
[3.4315, 1.07019, 22.1118, 22.852, 4.40872, 4.40675]
[3.4415, 1.28738, 21.3041, 22.0927, 4.42052, 4.41744]
[3.4515, 1.49597, 20.3928, 21.2868, 4.43445, 4.4303]
[3.4654, 1.76961, 18.9631, 20.1812, 4.45716, 4.45124]
[3.4754, 1.95362, 17.8233, 19.1524, 4.47578, 4.46879]
[3.4854, 2.12581, 16.5969, 17.8088, 4.49619, 4.48831]
[3.50061, 2.36317, 14.579, 16.2429, 4.53038, 4.52081]
[3.51062, 2.50196, 13.1619, 14.9171, 4.55472, 4.54429]
[3.52061, 2.62621, 11.6817, 13.1509, 4.58037, 4.56928]
[3.53062, 2.7354, 10.1448, 11.6721, 4.60719, 4.59552]
[3.54062, 2.82897, 8.55909, 10.1366, 4.63503, 4.62285]
[3.55256, 2.91965, 6.61147, 8.39465, 4.6694, 4.65664]
[3.5657, 2.99213, 4.41982, 6.50567, 4.70825, 4.69495]
[3.5757, 3.02788, 2.72581, 4.67843, 4.73836, 4.72481]
[3.5857, 3.04661, 1.01946, 2.72389, 4.76875, 4.75506]
[3.5957, 3.04826, -0.69085, 1.0188, 4.79924, 4.7855]
[3.6057, 3.03282, -2.39639, -0.689905, 4.82966, 4.81596]
[3.61578, 3.00002, -4.10359, -2.40154, 4.8601, 4.84651]
[3.62644, 2.94679, -5.88386, -4.14801, 4.8918, 4.87844]
[3.63644, 2.87971, -7.52396, -5.82405, 4.92095, 4.90789]
[3.64644, 2.79642, -9.12607, -7.51763, 4.94934, 4.93666]
[3.65663, 2.69531, -10.7111, -9.13312, 4.97734, 4.96513]
[3.66663, 2.58064, -12.2127, -10.6871, 5.00373, 4.99206]
[3.67663, 2.45123, -13.6535, -12.2026, 5.02891, 5.01785]
[3.68663, 2.30777, -15.0258, -13.6426, 5.05271, 5.04233]
[3.7014, 2.07173, -16.9137, -15.3238, 5.08508, 5.07618]
[3.7114, 1.89661, -18.0893, -16.5998, 5.10494, 5.09701]
[3.7214, 1.71021, -19.1749, -18.0724, 5.12298, 5.11596]
[3.73423, 1.45603, -20.4273, -19.2991, 5.14331, 5.13775]
[3.74423, 1.24734, -21.2885, -20.2754, 5.15683, 5.15239]
[3.75423, 1.03057, -22.044, -21.2708, 5.16823, 5.16485]
[3.76423, 0.806784, -22.6901, -22.0268, 5.17742, 5.17514]
[3.77446, 0.571801, -23.2345, -22.6787, 5.18448, 5.18338]
[3.78446, 0.337256, -23.6503, -23.2095, 5.18903, 5.1891]
[3.79446, 0.0991632, -23.9487, -23.6295, 5.19121, 5.19246]
[3.80446, -0.141345, -24.1283, -23.9277, 5.191, 5.19345]
[3.81447, -0.383053, -24.1883, -24.1084, 5.18838, 5.19204]
[3.82447, -0.62476, -24.1283, -24.1683, 5.18334, 5.1882]
[3.83447, -0.865292, -23.9486, -24.1096, 5.17589, 5.18196]
[3.84447, -1.10338, -23.65, -23.9288, 5.16604, 5.17331]
[3.85447, -1.33795, -23.234, -23.6292, 5.15383, 5.16228]
[3.86447, -1.56773, -22.7026, -23.2148, 5.1393, 5.14891]
[3.87447, -1.79167, -22.0584, -22.6849, 5.12249, 5.13324]
[3.88447, -2.00857, -21.3046, -22.0401, 5.10348, 5.11533]
[3.8998, -2.32504, -19.9448, -21.0576, 5.07024, 5.08429]
[3.91153, -2.55203, -18.7461, -20.0871, 5.04163, 5.0572]
[3.92204, -2.74287, -17.5626, -18.7923, 5.0138, 5.03045]
[3.93438, -2.9505, -16.0487, -17.4353, 4.97864, 4.99655]
[3.94438, -3.10447, -14.7323, -16.1805, 4.94835, 4.96713]
[3.95591, -3.26504, -13.1244, -14.6142, 4.91164, 4.93135]
[3.97339, -3.47205, -10.52, -12.6714, 4.85266, 4.87412]
[3.99423, -3.65709, -7.2074, -10.2295, 4.77826, 4.80184]
[4.00423, -3.72094, -5.55595, -8.07022, 4.74136, 4.76546]
[4.01423, -3.76812, -3.87564, -5.55147, 4.7039, 4.72829]
[4.02423, -3.79839, -2.1745, -3.87275, 4.66605, 4.69064]
[4.03423, -3.81157, -0.461028, -2.1725, 4.62799, 4.65269]
[4.04425, -3.80757, 1.25949, -0.458881, 4.58982, 4.61454]
[4.05425, -3.7864, 2.97314, 1.25755, 4.55183, 4.57649]
[4.06425, -3.74815, 4.67412, 2.97088, 4.51414, 4.53864]
[4.07425, -3.69298, 6.35412, 4.67016, 4.47692, 4.50119]
[4.08425, -3.62115, 8.00492, 6.34894, 4.44033, 4.46428]
[4.09425, -3.53299, 9.61844, 7.99871, 4.40454, 4.42809]
[4.10638, -3.40476, 11.514, 9.77864, 4.36244, 4.38532]
[4.11662, -3.27891, 13.0526, 11.3579, 4.32821, 4.35045]
[4.12662, -3.14112, 14.4926, 13.0237, 4.29609, 4.31767]
[4.13662, -2.98928, 15.8634, 14.481, 4.26543, 4.28629]
[4.14662, -2.82408, 17.1587, 15.8509, 4.23635, 4.25641]
[4.15663, -2.64632, 18.372, 17.1451, 4.20898, 4.22819]
